Disease,Precaution 1,Precaution 2,Precaution 3,Precaution 4,Precaution 5,Medicine 1,Medicine 2
Bacterial Blight,Use resistant varieties,Avoid overhead watering,Remove infected plants,Apply copper-based fungicides,Ensure proper drainage,Copper Oxychloride,Streptomycin
Powdery Mildew,Improve air circulation,Use sulfur-based fungicides,Water in the morning,Remove affected leaves,Apply neem oil,Sulfur Dust,Myclobutanil
Leaf Spot,Use clean seeds,Remove infected leaves,Use fungicides,Practice crop rotation,Avoid overhead watering,Chlorothalonil,Mancozeb
Root Rot,Improve soil drainage,Avoid overwatering,Use sterilized soil,Apply fungicides,Remove infected plants,Metalaxyl,Fosetyl-Al
Rust,Use resistant varieties,Remove infected leaves,Apply sulfur sprays,Avoid wetting foliage,Practice crop rotation,Propiconazole,Triadimefon
Downy Mildew,Avoid overcrowding plants,Water at soil level,Use copper sprays,Remove infected plants,Improve air circulation,Copper Hydroxide,Mefenoxam
Wilt Disease,Use disease-free seeds,Apply biofungicides,Rotate crops,Avoid excess nitrogen,Remove infected plants,Thiophanate-methyl,Carbendazim
Mosaic Virus,Control insect vectors,Use virus-free seeds,Remove infected plants,Disinfect tools,Apply mineral oils,Imidacloprid,Acetamiprid
Anthracnose,Use resistant varieties,Avoid overhead irrigation,Apply copper fungicides,Remove infected fruits,Maintain dry conditions,Azoxystrobin,Chlorothalonil
Black Rot,Use resistant varieties,Sanitize garden tools,Prune affected parts,Avoid waterlogged soil,Apply copper-based sprays,Copper Sulfate,Tetracycline
Bacterial Blight,Use resistant varieties,Avoid overhead watering,Remove infected plants,Apply copper-based fungicides,Ensure proper drainage,Copper Oxychloride,Streptomycin
Powdery Mildew,Improve air circulation,Use sulfur-based fungicides,Water in the morning,Remove affected leaves,Apply neem oil,Sulfur Dust,Myclobutanil
Leaf Spot,Use clean seeds,Remove infected leaves,Use fungicides,Practice crop rotation,Avoid overhead watering,Chlorothalonil,Mancozeb
Root Rot,Improve soil drainage,Avoid overwatering,Use sterilized soil,Apply fungicides,Remove infected plants,Metalaxyl,Fosetyl-Al
Rust,Use resistant varieties,Remove infected leaves,Apply sulfur sprays,Avoid wetting foliage,Practice crop rotation,Propiconazole,Triadimefon
Downy Mildew,Avoid overcrowding plants,Water at soil level,Use copper sprays,Remove infected plants,Improve air circulation,Copper Hydroxide,Mefenoxam
Wilt Disease,Use disease-free seeds,Apply biofungicides,Rotate crops,Avoid excess nitrogen,Remove infected plants,Thiophanate-methyl,Carbendazim
Mosaic Virus,Control insect vectors,Use virus-free seeds,Remove infected plants,Disinfect tools,Apply mineral oils,Imidacloprid,Acetamiprid
Anthracnose,Use resistant varieties,Avoid overhead irrigation,Apply copper fungicides,Remove infected fruits,Maintain dry conditions,Azoxystrobin,Chlorothalonil
Black Rot,Use resistant varieties,Sanitize garden tools,Prune affected parts,Avoid waterlogged soil,Apply copper-based sprays,Copper Sulfate,Tetracycline
Bacterial Blight,Use resistant varieties,Avoid overhead watering,Remove infected plants,Apply copper-based fungicides,Ensure proper drainage,Copper Oxychloride,Streptomycin
Powdery Mildew,Improve air circulation,Use sulfur-based fungicides,Water in the morning,Remove affected leaves,Apply neem oil,Sulfur Dust,Myclobutanil
Leaf Spot,Use clean seeds,Remove infected leaves,Use fungicides,Practice crop rotation,Avoid overhead watering,Chlorothalonil,Mancozeb
Root Rot,Improve soil drainage,Avoid overwatering,Use sterilized soil,Apply fungicides,Remove infected plants,Metalaxyl,Fosetyl-Al
Rust,Use resistant varieties,Remove infected leaves,Apply sulfur sprays,Avoid wetting foliage,Practice crop rotation,Propiconazole,Triadimefon
